pink,teal,scan
FFFFFFFF,FFFFFFFF,FFF5F3F5
FFFFFFFF,FFFFFFFF,FFF4F2F5
FFFFFFFF,FFFFFFFF,FFF3F2F5
FFFDFDFD,FFFFFFFF,FFF4F2F5
FFFCFCFC,FFFFFFFF,FFF5F1F4
FFF9F9F9,FFFFFFFF,FFF4F0F4
FFF2F2F2,FFFFFFFF,FFF5ECF3
FFE4E4E4,FFFFFFFF,FFF8EAF3
FFCBCBCB,FFFFFFFF,FFFDE2F1
FFB1B1B1,FFFFFFFF,FFFED4EE
FF989898,FFFFFFFF,FFFEC9EC
FF727272,FFFFFFFF,FFFEBFEA
FF4D4D4D,FFFFFFFF,FFFEB2E8
FF3C3C3C,FFFFFFFF,FFFEA3E5
FF2A2A2A,FFFFFFFF,FFFE97E4
FF1A1A1A,FFFFFFFF,FFFF8AE1
FF121212,FFFFFFFF,FFFF83E0
FF000000,FFFFFFFF,FFFF75DD
FF000000,FFFFFFFF,FFFF76DF
FF000000,FFFFFFFF,FFFF75DD
FFFFFFFF,FFFDFDFD,FFF4F0F3
FFFFFFFF,FFFCFCFC,FFF5F0F4
FFFFFFFF,FFF9F9F9,FFF1EDF3
FFFFFFFF,FFF2F2F2,FFE8E9EF
FFFFFFFF,FFE4E4E4,FFD3DFE4
FFFFFFFF,FFCBCBCB,FFBDD3D9
FFFFFFFF,FFB1B1B1,FF9FC2CA
FFFFFFFF,FF989898,FF8CB6C0
FFFFFFFF,FF727272,FF5A96A3
FFFFFFFF,FF4D4D4D,FF508E9D
FFFFFFFF,FF3C3C3C,FF4A8B9A
FFFFFFFF,FF2A2A2A,FF448696
FFFFFFFF,FF1A1A1A,FF397A8A
FFFFFFFF,FF121212,FF387788
FFFFFFFF,FF000000,FF387889
FFFFFFFF,FF000000,FF397A8B
FFFFFFFF,FF000000,FF376C7D
FFE4E4E4,FFE4E4E4,FFD8D6E1
FFCBCBCB,FFCBCBCB,FFC2C3D4
FFB1B1B1,FFCBCBCB,FFCEBFD5
FF989898,FFCBCBCB,FFC4AECB
FF4D4D4D,FFCBCBCB,FFDC9CCC
FF2A2A2A,FFCBCBCB,FFE78BCC
FF000000,FFCBCBCB,FFF26FC7
FFCBCBCB,FFB1B1B1,FF95ACBE
FFB1B1B1,FFB1B1B1,FFA5A8C0
FF989898,FFB1B1B1,FFAEA3C2
FF7E7E7E,FFB1B1B1,FFBCA2C5
FFCBCBCB,FF989898,FF7A9DAF
FFB1B1B1,FF989898,FF869AB1
FF989898,FF989898,FF9198B4
FF4D4D4D,FF989898,FFA489B4
FF2A2A2A,FF989898,FF9675AA
FF000000,FF989898,FFA662A7
FF989898,FF7E7E7E,FF7F93AE
FF7E7E7E,FF7E7E7E,FF8892B0
FF363636,FF7E7E7E,FF7C78A3
FF727272,FF727272,FF7282A3
FFCBCBCB,FF4D4D4D,FF588B9E
FF989898,FF4D4D4D,FF6588A1
FF4D4D4D,FF4D4D4D,FF5A7496
FF2A2A2A,FF4D4D4D,FF646B96
FF000000,FF4D4D4D,FF6B5F95
FF3C3C3C,FF3C3C3C,FF5C7497
FFB1B1B1,FF363636,FF467990
FFCBCBCB,FF2A2A2A,FF40788D
FF989898,FF2A2A2A,FF46738E
FF4D4D4D,FF2A2A2A,FF4F7091
FF2A2A2A,FF2A2A2A,FF4C668C
FF000000,FF2A2A2A,FF52598A
FF7E7E7E,FF1F1F1F,FF43708C
FF1A1A1A,FF1A1A1A,FF4F628D
FFCBCBCB,FF000000,FF37687A
FFB1B1B1,FF000000,FF39687E
FF989898,FF000000,FF3F6E87
FF4D4D4D,FF000000,FF446A89
FF2A2A2A,FF000000,FF3F5E7B
FF000000,FF000000,FF44567B
FF000000,FF000000,FF44567B
FF000000,FF000000,FF4A5983
